,Year,Month,Day,HomeTeam,AwayTeam,HomeScore,AwayScore,Tournament,Location,RatingTeam1,RatingTeam2,MatchName,Date,TotalGoals,Result,NewResult,HigherRating,LowerRating,HigherTeam,LowerTeam,HigherTeamScoring,HigherTeamConceding,LowerTeamScoring,LowerTeamConceding,HigherTeamExpectedScoring,HigherTeamExpectedConceding,RatingTotal,RatingDifferenceAbsolute,RatingDifferenceRelative
1181,2017,6,11,Serbia,Wales,1,1,World Cup qualifier,,1742,1772,Serbia-Wales,2017-06-11,2,1-1,1-1,1772,1742,Wales,Serbia,1.2657252112003219,0.891682660367361,1.3737253927338129,1.1214798877807532,0.14424532341956864,-0.4820427323664519,3514,30,1.0172215843857635
1185,2017,6,12,Iran,Uzbekistan,2,0,World Cup qualifier,,1794,1636,Iran-Uzbekistan,2017-06-12,2,2-0,2-0,1794,1636,Iran,Uzbekistan,1.8602155783220997,0.36806273116956634,1.2388920372369365,0.5811819760797439,1.2790336022423558,-0.8708293060673702,3430,158,1.0965770171149145
1217,2017,6,18,Chile,Cameroon,2,0,Confederations Cup,RU,1975,1674,Chile-Cameroon,2017-06-18,2,2-0,2-0,1975,1674,Chile,Cameroon,1.664487055855913,1.1783180920897895,0.9667567383056422,1.2458777401230643,0.41860931573284876,0.2115613537841473,3649,301,1.1798088410991636
1218,2017,6,18,Mexico,Portugal,2,2,Confederations Cup,RU,1923,1929,Mexico-Portugal,2017-06-18,4,2-2,2-2,1929,1923,Portugal,Mexico,3.156698853064206,0.6330751734355788,1.6870620484236942,0.6920084435177218,2.464690409546484,-1.0539868749881154,3852,6,1.0031201248049921
1219,2017,6,19,Germany,Australia,3,2,Confederations Cup,RU,2048,1707,Germany-Australia,2017-06-19,5,3-2,3-2,2048,1707,Germany,Australia,3.138340497491544,0.42852321599276416,1.9171680638338917,1.579184683766106,1.5591558137254378,-1.4886448478411276,3755,341,1.1997656707674282
1221,2017,6,21,Russia,Portugal,0,1,Confederations Cup,,1700,1946,Russia-Portugal,2017-06-21,1,0-1,1-0,1946,1700,Portugal,Russia,2.946389970688896,0.8816069600836554,1.6674856295132878,1.0988766566937078,1.847513313995188,-0.7858786694296325,3646,246,1.1447058823529412
1222,2017,6,22,Australia,Cameroon,1,1,Confederations Cup,RU,1705,1676,Australia-Cameroon,2017-06-22,2,1-1,1-1,1705,1676,Australia,Cameroon,1.9322284158640932,1.8375147412631776,0.7909827858864344,1.382990878282507,0.5492375375815861,1.0465319553767432,3381,29,1.0173031026252983
1223,2017,6,22,Chile,Germany,1,1,Confederations Cup,RU,1980,2043,Chile-Germany,2017-06-22,2,1-1,1-1,2043,1980,Germany,Chile,3.1131876797658085,0.7142462676304434,1.7254894093366562,0.964078438982555,2.1491092407832535,-1.0112431417062129,4023,63,1.0318181818181817
1227,2017,6,24,Russia,Mexico,1,2,Confederations Cup,,1684,1944,Russia-Mexico,2017-06-24,3,1-2,2-1,1944,1684,Mexico,Russia,1.7905126109282579,0.9425841646688882,1.3643064241472354,1.0808990827493972,0.7096135281788607,-0.4217222594783472,3628,260,1.154394299287411
1229,2017,6,25,Australia,Chile,1,1,Confederations Cup,RU,1721,1964,Australia-Chile,2017-06-25,2,1-1,1-1,1964,1721,Chile,Australia,1.5935822440027188,0.9706096318948176,1.7627323402524397,1.6852393337607816,-0.09165708975806286,-0.7921227083576221,3685,243,1.1411969785008715
1231,2017,6,25,Germany,Cameroon,3,1,Confederations Cup,RU,2051,1668,Germany-Cameroon,2017-06-25,4,3-1,3-1,2051,1668,Germany,Cameroon,2.7289717379902068,0.7662014916976354,0.8289859157252646,1.313356173140233,1.4156155648499738,-0.06278442402762918,3719,383,1.2296163069544364
1238,2017,6,28,Chile,Portugal,0,0,Confederations Cup,RU,1963,1955,Chile-Portugal,2017-06-28,0,0-0,0-0,1963,1955,Chile,Portugal,1.485658199638588,0.9759533351866689,2.8484098150892603,0.5901666427006287,0.8954915569379593,-1.8724564799025913,3918,8,1.0040920716112531
1245,2017,6,29,Germany,Mexico,4,1,Confederations Cup,RU,2082,1915,Germany-Mexico,2017-06-29,5,4-1,4-1,2082,1915,Germany,Mexico,2.778249603810169,0.8087103113889744,1.6779464585552797,0.7797464242824788,1.9985031795276904,-0.8692361471663053,3997,167,1.0872062663185378
1254,2017,7,2,Germany,Chile,1,0,Confederations Cup,RU,2099,1946,Germany-Chile,2017-07-02,1,1-0,1-0,2099,1946,Germany,Chile,3.0003860394810475,0.8434902547727972,1.2155385269770265,0.7985072742436382,2.201878765237409,-0.3720482722042293,4045,153,1.078622816032888
1255,2017,7,2,Portugal,Mexico,2,1,Confederations Cup,RU,1977,1898,Portugal-Mexico,2017-07-02,3,2-1,2-1,1977,1898,Portugal,Mexico,2.3305171214366673,0.4828636167550598,1.6356501086196498,1.2988385154287667,1.0316786060079006,-1.15278649186459,3875,79,1.041622760800843
1269,2017,7,8,United States,Panama,1,1,CONCACAF Championship,,1755,1660,United States-Panama,2017-07-08,2,1-1,1-1,1755,1660,United States,Panama,1.718880508941154,0.8200263386918736,0.8574767196270143,0.8433077123166153,0.8755727966245388,-0.03745038093514075,3415,95,1.0572289156626506
1286,2017,7,19,Costa Rica,Panama,1,0,CONCACAF Championship,US,1787,1666,Costa Rica-Panama,2017-07-19,1,1-0,1-0,1787,1666,Costa Rica,Panama,1.3966799922239208,0.5940655328854222,1.4343354835522863,0.7323601219224738,0.664319870301447,-0.8402699506668642,3453,121,1.0726290516206483
1290,2017,7,22,United States,Costa Rica,2,0,CONCACAF Championship,,1797,1758,United States-Costa Rica,2017-07-22,2,2-0,2-0,1797,1758,United States,Costa Rica,2.044913258600021,0.7104837653273262,1.324556357274117,0.4860536178153454,1.5588596407846758,-0.6140725919467909,3555,39,1.022184300341297
1308,2017,8,31,Brazil,Ecuador,2,0,World Cup qualifier,,2120,1799,Brazil-Ecuador,2017-08-31,2,2-0,2-0,2120,1799,Brazil,Ecuador,2.509078561951063,0.41315446710166553,1.9420627408205648,1.1374202089547836,1.3716583529962796,-1.5289082737188993,3919,321,1.1784324624791551
